119	海鲜	 浦东新区	26	66	67	68	76
120	快餐	 浦东新区	4	70	68	69	12
121	烧烤	 浦东新区	1	69	69	69	19
122	湘菜	 浦东新区	5	72	69	72	30
123	快餐	 浦东新区	13	69	67	67	17
124	火锅	 浦东新区	28	71	71	71	76
125	西餐	 浦东新区	46	72	72	71	34
126	啡厅	 浦东新区	73	73	75	74	42
127	西餐	 浦东新区	46	72	72	71	34
128	西餐	 浦东新区	67	69	71	70	131
129	啡厅	 浦东新区	35	76	77	77	32
130	海鲜	 浦东新区	14	71	71	71	75
131	湘菜	 浦东新区	60	71	71	72	54
132	粤菜	 浦东新区	19	71	70	70	29
133	浙菜	 浦东新区	325	75	83	75	59
134	美食	 浦东新区	36	77	79	77	69
135	浙菜	 浦东新区	44	68	68	63	108
136	蟹宴	 浦东新区	19	67	68	67	74
137	浙菜	 浦东新区	26	72	73	72	73
138	川菜	 浦东新区	107	82	81	80	79
139	川菜	 浦东新区	99	75	74	74	62
140	川菜	 浦东新区	23	68	69	69	47
141	粤菜	 浦东新区	99	68	70	69	87
142	湘菜	 浦东新区	300	70	73	66	78
143	火锅	 浦东新区	68	79	77	74	76
144	火锅	 浦东新区	229	77	74	77	80
145	火锅	 浦东新区	184	75	77	72	100
146	火锅	 浦东新区	510	69	73	72	96
147	火锅	 浦东新区	51	71	69	70	74
148	火锅	 浦东新区	41	71	71	71	50
149	本菜	 浦东新区	168	73	73	73	61
150	本菜	 浦东新区	11	69	70	70	34
151	料理	 浦东新区	182	71	72	72	69
152	料理	 浦东新区	197	73	79	75	61
153	料理	 浦东新区	187	65	68	66	51
154	西餐	 浦东新区	103	71	73	71	39
155	快餐	 浦东新区	72	74	74	75	33
156	西餐	 浦东新区	104	62	65	65	77
157	西餐	 浦东新区	11	60	66	64	50
158	美食	 浦东新区	135	75	74	75	89
159	啡厅	 浦东新区	24	70	74	72	17
160	蟹宴	 浦东新区	19	67	68	67	74
161	快餐	 浦东新区	119	75	78	78	33
162	快餐	 浦东新区	45	72	70	72	13
163	海鲜	 浦东新区	15	75	74	74	29
164	浙菜	 浦东新区	44	68	68	63	108
165	本菜	 浦东新区	168	73	73	73	61
166	快餐	 浦东新区	72	74	74	75	33
167	料理	 浦东新区	8	69	69	72	62
168	甜点	 浦东新区	6	79	80	79	19
169	烧烤	 浦东新区	10	72	69	72	46
170	甜点	 浦东新区	7	73	71	71	10
171	浙菜	 浦东新区	41	71	68	71	41
172	烧烤	 浦东新区	5	73	71	73	34
173	粤菜	 浦东新区	320	62	67	63	88
174	湘菜	 浦东新区	235	74	73	72	34
175	湾菜	 浦东新区	597	77	84	83	37
176	快餐	 浦东新区	384	81	81	79	37
177	快餐	 浦东新区	58	76	76	75	41
178	快餐	 浦东新区	163	73	73	73	28
179	快餐	 浦东新区	177	67	69	68	34
180	快餐	 浦东新区	299	70	73	70	38
181	快餐	 浦东新区	361	69	69	69	36
182	本菜	 浦东新区	974	61	60	54	57
183	啡厅	 浦东新区	339	78	75	75	41
184	甜点	 浦东新区	81	77	75	78	20
185	美食	 浦东新区	53	66	67	62	116
186	啡厅	 浦东新区	339	78	75	75	41
187	啡厅	 浦东新区	117	71	74	72	37
188	啡厅	 浦东新区	67	70	70	68	49
189	啡厅	 浦东新区	40	65	66	65	79
190	粤菜	 浦东新区	320	62	67	63	88
191	粤菜	 浦东新区	273	63	66	59	55
192	料理	 浦东新区	87	67	69	68	55
193	西餐	 浦东新区	170	63	65	64	62
194	啡厅	 浦东新区	269	78	75	74	39
195	啡厅	 浦东新区	63	75	74	74	43
196	甜点	 浦东新区	42	76	76	73	17
197	啡厅	 浦东新区	269	78	75	74	39
198	啡厅	 浦东新区	63	75	74	74	43
199	啡厅	 浦东新区	155	73	75	73	56
200	啡厅	 浦东新区	16	67	70	70	83
201	甜点	 浦东新区	42	76	76	73	17
202	甜点	 浦东新区	42	76	76	73	17
203	快餐	 浦东新区	1148	74	74	71	39
204	粤菜	 浦东新区	46	61	71	65	75
205	西餐	 浦东新区	29	68	71	69	65
206	啡厅	 浦东新区	448	81	78	76	40
207	啡厅	 浦东新区	32	74	72	73	36
208	啡厅	 浦东新区	448	81	78	76	40
209	啡厅	 浦东新区	48	72	71	71	42
210	啡厅	 浦东新区	32	74	72	73	36
211	啡厅	 浦东新区	141	74	75	74	49
212	啡厅	 浦东新区	19	68	68	67	95
213	啡厅	 浦东新区	48	72	71	71	42
214	快餐	 浦东新区	2	70	70	70	15
215	啡厅	 浦东新区	18	65	66	64	39
216	啡厅	 浦东新区	18	65	66	64	39
217	快餐	 浦东新区	167	75	75	75	45
218	浙菜	 浦东新区	49	66	69	65	96
219	浙菜	 浦东新区	453	58	62	53	100
220	粤菜	 浦东新区	248	61	66	64	82
221	快餐	 浦东新区	85	73	75	71	43
222	啡厅	 浦东新区	65	75	77	74	67
223	西餐	 浦东新区	48	72	72	69	56
224	甜点	 浦东新区	34	74	76	75	37
225	甜点	 浦东新区	83	68	68	67	43
226	美食	 浦东新区	75	74	74	71	80
227	啡厅	 浦东新区	65	75	77	74	67
228	快餐	 浦东新区	85	73	75	71	43
229	甜点	 浦东新区	34	74	76	75	37
230	甜点	 浦东新区	117	63	66	64	12
231	甜点	 浦东新区	117	63	66	64	12
232	啡厅	 浦东新区	73	79	80	78	73
233	粤菜	 浦东新区	379	83	80	79	70
234	粤菜	 浦东新区	223	81	84	78	60
235	粤菜	 浦东新区	41	76	80	75	65
236	粤菜	 浦东新区	47	66	68	68	50
237	快餐	 浦东新区	102	82	83	84	51
238	快餐	 浦东新区	237	78	75	76	35
239	快餐	 浦东新区	130	75	74	72	33
240	快餐	 浦东新区	159	73	73	72	51
241	本菜	 浦东新区	51	69	71	71	93
242	料理	 浦东新区	72	71	71	71	40
243	西餐	 浦东新区	114	74	74	72	31
244	啡厅	 浦东新区	35	76	73	72	40
245	美食	 浦东新区	111	61	65	59	49
246	啡厅	 浦东新区	35	76	73	72	40
247	啡厅	 浦东新区	136	75	77	73	65
248	啡厅	 浦东新区	28	70	71	72	35
249	啡厅	 浦东新区	34	68	69	68	75
250	啡厅	 浦东新区	173	74	76	76	52
251	啡厅	 黄浦区	8	74	75	74	56
252	快餐	 浦东新区	159	73	73	72	51
253	甜点	 浦东新区	23	77	77	77	95
254	浙菜	 浦东新区	76	70	75	73	80
255	美食	 浦东新区	49	83	84	77	71
256	浙菜	 杨浦区	30	70	70	71	8
257	川菜	 浦东新区	12	70	67	67	26
258	川菜	 浦东新区	62	73	69	69	27
259	美食	 浦东新区	28	71	73	72	62
260	快餐	 浦东新区	3	74	74	74	23
261	甜点	 浦东新区	695	84	72	82	8
262	烧烤	 浦东新区	44	69	67	68	34
263	烧烤	 浦东新区	1	70	70	70	13
264	烧烤	 浦东新区	123	69	69	70	43
265	甜点	 浦东新区	16	75	75	75	20
266	料理	 浦东新区	4	70	70	70	15
267	火锅	 浦东新区	28	71	72	69	67
268	川菜	 浦东新区	3	70	69	69	13
269	美食	 浦东新区	16	74	77	77	19
270	川菜	 浦东新区	20	71	70	70	26
271	啡厅	 浦东新区	69	78	78	78	31
272	浙菜	 浦东新区	85	71	73	71	100
273	浙菜	 浦东新区	57	73	76	73	167
274	甜点	 浦东新区	17	77	75	77	24
275	啡厅	 浦东新区	26	80	82	83	50
276	粤菜	 浦东新区	1475	76	80	80	92
277	烧烤	 浦东新区	42	73	75	73	135
278	西餐	 浦东新区	127	75	75	74	56
279	啡厅	 浦东新区	35	73	74	74	55
280	浙菜	 浦东新区	13	70	70	70	40
281	川菜	 浦东新区	557	80	80	79	67
282	本菜	 浦东新区	144	75	76	84	74
283	本菜	 浦东新区	144	75	76	84	74
284	啡厅	 浦东新区	14	75	76	77	20
285	美食	 浦东新区	307	79	81	78	82
286	美食	 浦东新区	307	79	81	78	82
287	美食	 浦东新区	9	74	74	74	65
288	西餐	 浦东新区	107	71	71	71	23
289	粤菜	 浦东新区	3400	76	78	74	80
290	快餐	 浦东新区	136	70	69	68	23
291	火锅	 浦东新区	224	86	87	84	90
292	浙菜	 浦东新区	329	80	80	77	83
293	川菜	 浦东新区	32	69	65	68	34
294	川菜	 浦东新区	357	86	85	80	79
295	烧烤	 浦东新区	59	73	74	65	113
296	烧烤	 浦东新区	9	69	69	68	38
297	料理	 浦东新区	1	70	70	70	19
298	火锅	 浦东新区	1454	84	83	84	81
299	火锅	 浦东新区	169	88	85	87	61
300	火锅	 浦东新区	68	66	65	65	72
301	本菜	 浦东新区	107	65	69	66	97
302	本菜	 浦东新区	107	65	69	66	97
303	海鲜	 浦东新区	751	77	76	78	98
304	火锅	 浦东新区	21	83	83	84	71
305	浙菜	 浦东新区	29	73	76	75	127
306	海鲜	 浦东新区	83	71	69	69	100
307	浙菜	 浦东新区	296	76	77	78	150
308	浙菜	 浦东新区	8	68	68	68	85
309	美食	 浦东新区	217	79	74	74	76
310	湘菜	 浦东新区	101	76	78	75	70
311	火锅	 浦东新区	3749	89	89	87	78
312	火锅	 浦东新区	3749	89	89	87	78
313	快餐	 浦东新区	67	68	75	70	17
314	啡厅	 浦东新区	32	73	74	73	45
315	湘菜	 浦东新区	3	73	72	73	62
316	烧烤	 浦东新区	340	70	71	71	59
317	烧烤	 浦东新区	340	70	71	71	59
318	快餐	 浦东新区	2	73	73	73	18
319	浙菜	 浦东新区	28	74	72	74	69
320	烧烤	 浦东新区	563	81	77	81	84
321	火锅	 浦东新区	164	82	81	85	70
322	火锅	 浦东新区	792	73	74	70	97
323	川菜	 浦东新区	44	72	71	73	56
324	快餐	 浦东新区	114	80	78	79	39
325	快餐	 浦东新区	114	80	78	79	39
326	火锅	 浦东新区	408	77	84	81	132
327	火锅	 浦东新区	408	77	84	81	132
328	快餐	 浦东新区	1	70	69	70	16
329	美食	 浦东新区	16	69	69	69	88
330	疆菜	 浦东新区	16	73	72	75	53
331	火锅	 浦东新区	166	84	77	76	73
332	烧烤	 浦东新区	134	69	72	66	96
333	快餐	 浦东新区	25	75	72	73	17
334	川菜	 浦东新区	3	74	71	73	35
335	火锅	 浦东新区	391	80	76	75	52
336	甜点	 浦东新区	45	74	75	74	21
337	川菜	 浦东新区	15	74	74	74	27
338	甜点	 浦东新区	49	73	74	73	20
339	火锅	 浦东新区	119	70	68	67	93
340	海鲜	 浦东新区	118	71	71	70	110
341	甜点	 浦东新区	665	80	82	79	49
342	西餐	 浦东新区	196	76	75	76	31
343	西餐	 浦东新区	196	76	75	76	31
344	甜点	 浦东新区	47	72	70	69	30
345	火锅	 浦东新区	54	71	71	73	59
346	美食	 浦东新区	11	68	67	70	34
347	浙菜	 浦东新区	87	69	68	69	67
348	北菜	 浦东新区	3	70	69	70	68
349	美食	 浦东新区	2	74	73	73	43
350	啡厅	 浦东新区	23	71	74	73	48
351	火锅	 浦东新区	63	80	77	72	81
352	快餐	 浦东新区	19	72	70	71	11
353	快餐	 浦东新区	13	65	67	66	14
354	浙菜	 浦东新区	31	74	72	73	40
355	烧烤	 浦东新区	74	73	70	71	37
356	浙菜	 浦东新区	282	73	74	73	126
357	海鲜	 浦东新区	39	69	68	69	113
358	海鲜	 浦东新区	39	69	68	69	113
359	海鲜	 浦东新区	31	72	68	70	110
360	川菜	 浦东新区	2	70	69	70	29
361	北菜	 浦东新区	14	73	69	71	42
362	海鲜	 浦东新区	79	71	73	71	84
363	火锅	 浦东新区	5	70	68	71	18
364	甜点	 浦东新区	16	71	70	70	10
365	甜点	 浦东新区	16	71	70	70	10
366	浙菜	 浦东新区	754	79	84	79	66
367	川菜	 浦东新区	128	65	68	65	75
368	粤菜	 浦东新区	3471	77	80	75	80
369	湾菜	 浦东新区	271	57	63	61	55
370	快餐	 浦东新区	145	82	82	81	23
371	快餐	 浦东新区	85	72	72	74	37
372	西餐	 浦东新区	877	73	78	69	164
373	快餐	 浦东新区	44	75	75	74	36
374	甜点	 浦东新区	221	85	85	76	77
375	甜点	 浦东新区	153	79	76	76	75
376	啡厅	 浦东新区	223	78	78	75	40
377	啡厅	 浦东新区	120	71	73	70	39
378	粤菜	 浦东新区	3471	77	80	75	80
379	啡厅	 浦东新区	223	78	78	75	40
380	浙菜	 浦东新区	158	69	73	70	75
381	浙菜	 浦东新区	494	73	70	68	30
382	本菜	 浦东新区	623	70	76	72	167
383	快餐	 浦东新区	4	76	76	76	17
384	烧烤	 浦东新区	22	76	75	76	64
385	常菜	 浦东新区	40	73	72	74	42
386	快餐	 浦东新区	15	74	74	73	30
387	啡厅	 浦东新区	171	81	81	80	39
388	啡厅	 浦东新区	171	81	81	80	39
389	川菜	 浦东新区	361	74	73	73	95
390	火锅	 浦东新区	277	75	76	73	75
391	本菜	 浦东新区	39	66	69	66	35
392	西餐	 浦东新区	1201	77	78	76	73
393	西餐	 黄浦区	35	78	77	77	25
394	西餐	 黄浦区	35	78	77	77	25
395	蟹宴	 浦东新区	85	77	79	73	63
396	助餐	 浦东新区	158	74	72	74	59
397	蟹宴	 浦东新区	85	77	79	73	63
398	蟹宴	 浦东新区	85	77	79	73	63
399	甜点	 浦东新区	55	78	80	80	14
400	快餐	 浦东新区	230	80	80	78	27
401	助餐	 浦东新区	929	86	83	80	206
402	助餐	 浦东新区	929	86	83	80	206
403	助餐	 浦东新区	364	69	71	67	97
404	助餐	 浦东新区	364	69	71	67	97
405	快餐	 浦东新区	8	71	69	71	25
406	甜点	 浦东新区	69	68	68	67	16
407	火锅	 浦东新区	406	69	75	72	67
408	美食	 浦东新区	22	69	68	70	26
409	浙菜	 浦东新区	55	73	70	72	45
410	浙菜	 浦东新区	55	73	70	72	45
411	浙菜	 浦东新区	48	75	79	76	56
412	料理	 浦东新区	275	80	76	81	66
413	料理	 浦东新区	275	80	76	81	66
414	川菜	 浦东新区	25	69	67	69	48
415	火锅	 浦东新区	33	74	73	74	73
416	湘菜	 浦东新区	32	69	68	68	72
417	火锅	 浦东新区	130	76	77	77	29
418	啡厅	 浦东新区	152	78	82	76	86
419	啡厅	 浦东新区	152	78	82	76	86
420	龙虾	 浦东新区	63	74	71	74	61
421	龙虾	 浦东新区	63	74	71	74	61
422	粤菜	 浦东新区	13	72	73	73	32
423	川菜	 浦东新区	62	71	68	69	44
424	快餐	 浦东新区	6	69	66	69	19
425	啡厅	 浦东新区	55	70	73	72	40
426	啡厅	 浦东新区	55	70	73	72	40
427	浙菜	 浦东新区	55	68	69	67	77
428	本菜	 浦东新区	22	72	73	72	36
429	海鲜	 浦东新区	110	73	73	72	100
430	快餐	 浦东新区	171	78	76	79	18
431	火锅	 浦东新区	399	89	86	88	91
432	火锅	 浦东新区	273	69	72	69	103
433	西餐	 浦东新区	179	75	74	73	49
434	甜点	 浦东新区	217	77	80	76	22
435	甜点	 浦东新区	217	77	80	76	22
436	啡厅	 浦东新区	25	67	70	69	21
437	火锅	 浦东新区	18	79	73	79	33
438	浙菜	 浦东新区	220	84	90	82	90
439	西餐	 浦东新区	22	74	74	74	60
440	甜点	 浦东新区	70	87	88	88	33
441	湘菜	 浦东新区	1	69	69	69	22
442	湘菜	 浦东新区	1	69	69	69	22
443	火锅	 浦东新区	24	73	72	73	50
444	北菜	 浦东新区	6	68	68	69	43
445	快餐	 浦东新区	3	69	69	69	28
446	疆菜	 浦东新区	1	70	70	69	15
447	西餐	 浦东新区	69	72	73	73	64
448	甜点	 浦东新区	656	81	80	79	26
449	西餐	 浦东新区	69	72	73	73	64
450	火锅	 浦东新区	19	76	74	77	29
451	浙菜	 浦东新区	190	88	90	88	143
452	快餐	 浦东新区	163	74	70	70	16
453	快餐	 浦东新区	163	74	70	70	16
454	海鲜	 浦东新区	34	68	64	66	57
455	西餐	 浦东新区	327	70	72	72	66
456	美食	 浦东新区	18	72	73	73	31
457	西餐	 浦东新区	24	69	69	71	41
458	美食	 浦东新区	24	66	68	70	24
459	常菜	 浦东新区	8	73	73	75	30
460	浙菜	 浦东新区	32	70	66	67	60
461	浙菜	 浦东新区	25	71	68	71	59
462	烧烤	 浦东新区	81	74	66	69	20
